carat,cut,color,clarity,depth,table,price,x,y,z
,,F,VS2,61.2,59.0,686.0,4.47,4.52,2.75
0.34,,H,VVS2,63.0,,686.0,,4.48,2.81
0.34,Very Good,G,,61.7,60.0,686.0,4.45,,2.76
,Ideal,H,VVS2,61.8,54.0,686.0,4.47,,2.77
0.34,Very Good,H,,61.4,58.0,686.0,4.46,4.5,
0.34,,G,,60.4,61.0,686.0,,4.53,2.72
0.39,Ideal,,,62.0,54.5,687.0,4.67,4.7,2.9
,Ideal,G,VVS2,,,,4.37,4.41,
,Ideal,,VVS2,61.5,56.0,,4.38,4.4,2.7
,Ideal,,VVS2,61.8,,687.0,,4.38,
,Ideal,G,,,,687.0,4.37,,2.71
0.31,Ideal,G,VVS2,60.9,56.0,687.0,,4.43,2.69
0.31,Ideal,G,VVS2,62.2,54.0,687.0,,,
0.31,Ideal,G,VVS2,,54.0,687.0,,,
,Ideal,G,VVS2,,,,,4.38,2.73
,Ideal,G,VVS2,60.8,56.0,687.0,4.41,4.44,2.69
0.3,Ideal,,VVS2,62.5,53.8,687.0,4.26,4.3,
0.33,Ideal,H,VVS1,61.4,53.0,687.0,4.5,4.55,2.78
,Ideal,,VVS1,61.6,,687.0,4.37,,2.7
,Ideal,,VVS1,,,,4.38,4.41,2.72
0.31,Ideal,H,VVS1,,,,4.35,4.41,2.74
,,H,VVS1,,55.0,687.0,4.37,4.4,2.7
0.31,,,VVS1,62.3,54.0,,,4.4,
,Ideal,H,VVS1,,54.0,687.0,,,2.71
,,,,,53.0,687.0,4.35,4.38,2.72
,Ideal,,,,,687.0,,,2.7
0.31,Ideal,,,61.4,,687.0,4.4,4.43,2.71
0.24,Ideal,D,,,57.0,687.0,3.92,,2.48
0.42,Good,G,,63.1,,,,4.79,3.01
,Good,E,,63.8,56.0,687.0,4.7,,3.01
,Good,E,SI1,,57.0,687.0,,4.69,
,Good,E,SI1,63.2,,,,4.74,2.98
0.42,,G,SI1,61.6,61.0,687.0,,4.82,2.96
,,E,SI1,63.5,,687.0,,,2.98
,Premium,G,SI1,,58.0,687.0,4.75,4.79,2.99
0.4,Good,F,,63.6,56.0,,4.63,4.68,2.96
,Ideal,E,SI2,62.7,55.2,687.0,,4.79,
0.4,Very Good,E,,61.4,58.0,,4.77,,2.94
0.4,Good,E,SI1,63.9,,687.0,4.63,4.67,2.97
0.4,Good,I,VS1,,55.0,,4.67,4.71,2.98
0.4,Very Good,,SI1,,59.0,687.0,4.69,4.72,2.96
0.4,Premium,E,SI1,61.0,59.0,,4.71,4.74,
0.4,,,,,62.0,,,4.69,2.91
0.4,,F,SI1,62.1,57.0,,4.65,4.69,2.9
,,G,SI1,,,,,4.81,
0.4,,E,SI1,63.2,58.0,,4.66,,2.96
0.42,Very Good,G,SI1,,62.0,687.0,4.82,4.85,2.93
0.4,Good,E,SI1,63.6,,,4.65,,2.97
0.4,,E,SI1,62.0,61.0,687.0,4.67,4.71,
0.4,Good,,SI1,63.5,57.0,687.0,4.7,4.72,2.99
,,,SI1,63.2,56.0,687.0,4.65,4.69,2.95
0.4,Good,F,SI1,63.3,58.0,687.0,4.69,,2.98
0.4,,E,SI1,,62.0,687.0,4.72,,
,Good,E,,63.7,56.0,687.0,4.66,4.69,2.98
0.4,Very Good,F,SI1,62.9,58.0,,,,2.96
0.4,Good,E,,63.9,55.0,687.0,4.67,,3.0
,Good,E,SI1,63.3,56.0,687.0,4.68,4.74,2.98
0.4,Good,E,,63.5,58.0,,,4.67,
0.4,Good,F,SI1,63.1,,687.0,4.66,4.69,
0.4,Very Good,E,SI1,63.0,,687.0,4.65,4.68,2.94
0.4,Very Good,E,,61.7,60.0,687.0,4.68,,
0.34,Ideal,E,,62.0,,687.0,,4.49,2.77
0.34,,D,VS2,61.6,55.0,687.0,4.48,4.54,
,,D,VS2,59.3,59.0,,4.55,,2.71
0.3,Very Good,E,VVS2,62.5,,688.0,4.23,4.28,
0.28,Very Good,,IF,59.6,,688.0,,4.31,
0.32,Ideal,F,,61.9,,688.0,4.36,,2.71
0.4,Ideal,F,,61.8,53.0,688.0,,,2.94
0.41,Ideal,,,61.7,54.0,688.0,4.78,4.81,2.96
0.38,Ideal,,SI1,,,688.0,,4.67,2.85
0.23,Premium,D,VVS2,58.9,,688.0,4.03,3.95,2.35
0.43,Very Good,E,SI2,61.8,,688.0,4.83,,2.99
0.41,Very Good,,SI1,,54.0,689.0,,,
,Ideal,H,VVS2,61.4,55.0,689.0,4.57,4.6,2.82
0.4,Ideal,E,,,53.0,,4.73,,2.95
0.36,Premium,G,SI1,61.8,,689.0,,4.55,
,Very Good,G,,,56.0,,,4.5,2.86
0.36,Premium,G,,62.0,59.0,689.0,4.56,,2.82
0.34,Premium,,VS2,,56.0,,4.49,4.46,2.77
0.34,Ideal,H,,60.5,56.0,,,,2.76
,Premium,H,VS2,59.0,,689.0,4.61,4.55,2.7
0.34,Good,H,VS2,63.7,57.0,689.0,4.44,4.42,
0.36,Ideal,,SI1,62.7,,689.0,4.59,4.54,2.86
0.36,Very Good,,,61.2,63.0,689.0,4.59,,2.8
0.36,Premium,,SI1,61.8,60.0,689.0,,4.53,2.81
0.36,Premium,D,SI2,,,,4.63,,2.81
0.36,,,,60.0,58.0,689.0,4.62,4.58,2.76
,,D,SI2,62.0,56.0,689.0,4.6,4.56,2.84
0.36,Premium,D,,61.2,,689.0,4.59,4.56,
0.36,,D,SI2,61.5,60.0,689.0,4.6,,2.81
0.36,,,SI2,62.3,57.0,,,,2.83
0.34,Ideal,,VS1,62.6,56.0,689.0,,4.44,
0.34,Ideal,I,VS1,62.4,55.0,,4.51,,2.8
,Premium,I,VS1,61.0,60.0,689.0,4.51,4.48,2.74
0.34,Premium,I,VS1,59.5,59.0,689.0,4.59,4.55,2.72
,Ideal,H,VS2,,,,4.53,,2.8
,Ideal,H,,61.4,57.0,689.0,4.55,4.48,2.77
0.34,Ideal,H,,62.5,,,4.54,4.49,2.82
,Ideal,H,VS2,61.5,54.0,689.0,4.54,4.5,2.78
,Premium,H,VS2,,60.0,689.0,4.56,4.51,2.73
,Premium,H,,61.3,60.0,,,4.47,2.76
0.34,Premium,H,VS2,61.1,,689.0,4.5,4.47,2.74
,,H,VS2,,,,4.51,,2.77
0.34,Very Good,,,63.2,55.0,689.0,4.5,4.46,2.83
0.34,Ideal,H,,61.7,57.0,689.0,4.48,4.46,2.76
,Premium,,VS2,62.4,60.0,,4.44,,2.76
,Very Good,,VS2,63.1,56.0,689.0,4.46,4.41,2.8
0.34,,,VS2,61.9,60.0,689.0,,,2.75
0.34,Premium,,,62.6,,689.0,4.46,4.42,2.78
0.34,Ideal,,VS2,,54.0,,4.5,4.45,2.8
0.34,,H,VS2,63.3,56.0,,4.45,4.39,
0.34,Good,H,VS1,64.0,,689.0,4.49,4.45,
0.3,Good,D,VVS2,,55.0,,4.23,,2.73
0.4,,,SI1,60.9,60.0,689.0,4.74,4.78,2.9
0.4,Very Good,D,,63.0,,690.0,4.69,4.7,2.96
0.42,Ideal,I,,61.6,55.0,690.0,4.83,,
0.41,Ideal,,SI1,62.2,54.0,690.0,4.78,4.8,
0.4,,D,SI1,60.6,,690.0,4.75,4.82,2.9
0.3,,G,VVS1,,,691.0,4.34,4.37,2.67
,Very Good,G,VVS1,60.7,,691.0,,,2.65
,Very Good,I,,,54.0,691.0,,4.89,3.0
0.3,Very Good,H,IF,62.3,,691.0,4.3,4.33,2.68
0.44,Ideal,,SI2,62.0,54.0,,4.9,4.94,3.05
0.42,Ideal,,SI1,,56.0,691.0,4.81,4.83,2.97
0.33,Very Good,G,VVS2,61.9,56.0,692.0,4.46,4.49,
,Very Good,,,61.4,55.0,692.0,4.46,,2.75
0.33,Very Good,,VVS1,62.5,55.0,692.0,4.43,,2.78
,Very Good,D,VS2,61.6,,692.0,4.37,,
0.32,,,VVS2,61.4,56.0,692.0,4.42,4.44,2.72
0.32,Ideal,H,VVS1,62.7,,692.0,4.37,4.4,2.75
,,E,VS2,62.5,55.0,692.0,,4.48,
0.33,Ideal,D,,,55.0,692.0,4.43,4.44,
0.31,Ideal,D,,62.8,,,4.32,4.34,2.72
,,D,,60.8,56.0,692.0,,4.42,2.68
0.34,Ideal,F,VS1,61.1,,,4.51,4.55,2.77
0.31,Ideal,,VS1,,55.0,692.0,4.36,4.38,2.68
0.33,,E,VS1,61.5,,692.0,4.45,4.5,2.75
0.31,Ideal,E,VS1,61.8,55.0,692.0,4.36,4.38,
0.31,Ideal,E,,61.1,54.0,692.0,4.37,4.4,2.68
0.4,Ideal,,SI1,,55.0,692.0,4.77,4.8,2.93
,Ideal,,SI1,62.0,55.0,,4.72,,
0.31,Ideal,,SI1,,55.0,692.0,,,2.7
,Premium,,SI2,61.6,59.0,692.0,4.79,,2.94
,,I,SI2,,57.0,692.0,4.72,4.7,2.99
0.37,,E,,61.0,,692.0,4.6,,2.82
0.41,Very Good,J,,61.8,56.0,,4.75,4.79,2.95
0.38,Very Good,G,VS1,61.9,54.0,693.0,4.65,4.69,2.89
0.3,,H,VS1,61.5,57.0,,4.27,4.31,2.64
0.38,Ideal,F,,62.5,53.7,693.0,4.64,4.66,
0.38,Ideal,E,SI1,61.8,53.8,,4.63,4.67,2.88
0.33,,H,VS1,59.0,62.0,693.0,4.52,4.49,2.66
0.33,Premium,H,VS1,62.4,60.0,693.0,4.42,4.39,
0.33,,G,,61.3,,693.0,,,2.73
0.33,,,SI1,59.1,59.0,693.0,4.59,4.54,
0.33,Very Good,E,SI1,63.1,56.0,693.0,4.45,4.42,
0.27,Good,,,,55.0,693.0,4.14,4.09,2.65
,Fair,F,,65.7,54.0,693.0,,,2.85
0.38,Ideal,F,VS2,61.2,57.0,693.0,,4.67,2.85
0.38,Good,E,VS2,63.2,57.0,693.0,,4.62,2.91
0.4,Very Good,E,VS2,63.0,59.0,693.0,,4.68,
0.33,Very Good,F,VVS2,63.5,54.0,,4.42,4.37,2.79
0.3,Very Good,F,VVS2,62.4,57.0,694.0,4.25,4.27,2.66
,Very Good,,SI1,,58.0,694.0,4.81,4.82,2.87
0.39,Very Good,G,SI1,,55.0,694.0,4.68,,2.93
0.4,Very Good,E,SI1,,56.0,,,4.74,
,,D,,63.8,,694.0,,4.75,
,,F,,61.8,55.0,694.0,,4.35,2.68
0.3,,,,,53.0,694.0,,4.39,2.69
0.3,Ideal,F,VVS2,61.5,55.0,,4.33,4.35,2.67
,,,VVS2,,56.0,694.0,,4.35,2.66
0.3,Ideal,F,VVS2,,,694.0,,4.28,2.65
0.3,Ideal,F,VVS2,,56.0,694.0,,4.34,2.67
0.3,Ideal,F,,62.1,57.0,694.0,,4.29,2.66
0.3,Ideal,F,,61.5,58.0,694.0,4.3,,
0.3,,F,VVS2,61.8,57.0,694.0,4.28,,2.66
0.3,Ideal,F,VVS2,62.5,,694.0,4.28,,2.69
,Ideal,E,VS1,62.1,58.0,694.0,,4.28,2.65
0.3,Ideal,E,VS1,62.5,56.0,694.0,4.27,4.31,
0.3,Ideal,,,61.3,,694.0,,4.32,2.64
0.3,Ideal,,,61.9,58.0,694.0,4.27,,2.65
0.44,Ideal,G,SI2,,55.0,,,4.95,3.02
0.4,,F,SI1,62.0,57.0,694.0,4.72,,2.94
0.4,Ideal,,SI1,61.9,57.0,694.0,,4.76,2.93
0.4,Ideal,,,62.0,,694.0,4.76,,2.96
,Ideal,,SI1,,53.0,694.0,4.73,4.75,
0.38,Ideal,E,SI1,61.0,56.0,694.0,4.68,4.69,2.86
0.4,,E,SI1,62.4,54.0,694.0,4.72,4.74,2.95
0.33,Premium,I,IF,62.1,58.0,,,4.43,2.74
0.33,,I,IF,62.1,55.0,694.0,4.41,4.44,2.75
,,,IF,,61.0,694.0,,4.56,
0.44,Good,J,VS1,,57.0,694.0,4.82,,3.06
,,I,,,,,4.46,4.47,
0.33,,I,IF,61.4,,694.0,4.41,4.45,
0.33,Very Good,,,,58.0,694.0,4.44,,
,Very Good,,VS1,61.9,,694.0,,4.9,3.01
,Good,J,VS1,63.1,,,4.83,,3.06
0.33,,I,IF,61.8,55.0,694.0,,4.47,2.76
,Ideal,I,,,56.0,694.0,,,2.76
0.3,,F,VVS1,61.6,56.0,,4.34,4.36,2.68
0.37,,,,59.8,59.0,,,4.7,2.8
0.4,Good,I,VS2,,57.0,695.0,,4.61,
,,F,,,,695.0,4.38,4.39,
,Ideal,E,VS2,59.8,57.0,,4.43,4.46,2.65
0.32,Ideal,F,,61.2,56.2,695.0,4.41,4.44,
0.31,Ideal,F,,61.8,56.0,695.0,4.33,,2.68
0.31,Ideal,F,VS1,61.2,57.0,695.0,4.36,,2.68
0.31,,F,VS1,61.6,,695.0,4.33,4.36,
0.31,Ideal,F,VS1,60.7,56.0,695.0,,4.39,
0.38,Ideal,G,SI1,60.6,57.0,,4.71,4.76,2.87
0.38,Ideal,G,SI1,61.5,55.0,695.0,4.66,4.68,
0.34,Ideal,I,IF,61.6,,695.0,,4.53,2.78
,,I,IF,61.9,55.0,695.0,4.5,4.52,2.79
0.34,Ideal,I,IF,,55.0,695.0,4.52,,2.78
0.34,Ideal,I,IF,,54.0,695.0,4.49,,
,Premium,G,VS1,60.4,59.0,,4.41,4.37,2.65
,Ideal,,VS1,61.9,56.0,695.0,4.38,4.34,2.7
0.31,,G,VS1,62.1,,695.0,4.36,,2.69
0.31,Ideal,G,VS1,62.7,57.0,695.0,4.34,,2.71
,Fair,G,VS1,64.6,,,,4.26,2.77
0.25,Very Good,D,VVS2,59.5,56.0,,4.14,,2.48
0.39,Very Good,,VS2,60.2,,696.0,4.74,4.79,2.87
0.32,Very Good,F,VS1,,,696.0,4.38,4.42,
0.32,Very Good,F,VS1,61.3,55.0,696.0,4.41,4.44,2.71
0.33,,,,60.1,59.0,,4.46,4.49,2.69
0.39,,H,,58.4,63.0,696.0,4.8,4.85,2.82
0.32,Ideal,,VS1,59.8,57.9,,4.44,,
0.31,Ideal,D,VS1,,54.0,696.0,,4.37,
0.43,Ideal,,SI2,62.3,,696.0,4.84,4.86,
0.4,Ideal,E,,61.9,57.0,,,4.76,2.94
0.43,Good,,VS2,58.0,,696.0,4.96,,
0.34,Good,,VS1,60.6,63.0,696.0,4.46,4.59,2.74
0.37,Very Good,,VS1,58.3,62.0,696.0,4.72,4.75,
,,,VS2,59.2,61.0,696.0,,4.69,
,Premium,F,VS2,60.5,59.0,,4.62,4.67,2.81
,Very Good,F,VS2,59.7,,,4.68,,2.8
0.34,Very Good,E,,62.7,,696.0,,4.51,2.82
0.34,Ideal,E,VS2,61.8,,,4.48,4.52,2.78
0.34,Good,E,VS2,63.8,56.0,,4.44,,2.85
0.3,Very Good,D,VS1,63.5,,697.0,4.24,,2.71
0.38,Ideal,H,SI1,61.2,56.0,,,4.74,2.89
0.39,Ideal,,SI1,61.8,,697.0,,4.73,2.91
0.39,Ideal,F,SI1,60.1,58.0,697.0,4.74,,2.86
0.34,Very Good,D,VS2,59.5,56.0,698.0,4.55,4.59,2.72
0.41,Very Good,G,SI1,62.4,56.0,698.0,4.75,4.77,2.97
,Ideal,,VVS2,,,698.0,4.4,4.44,2.71
0.32,Ideal,,VVS2,,58.0,698.0,4.39,4.43,2.7
0.33,,H,VVS1,60.2,60.0,698.0,4.49,4.52,2.71
0.32,Ideal,H,VVS1,,55.0,698.0,,4.46,
0.39,,I,,60.8,56.0,,4.72,,2.88
0.43,,F,,61.6,55.0,,4.87,4.9,3.01
0.39,Ideal,H,SI1,61.5,56.0,698.0,4.69,4.71,2.89
0.31,Ideal,G,,,,698.0,4.45,4.35,
0.31,,,,59.0,60.0,698.0,4.41,4.37,2.59
0.31,Premium,G,,61.0,56.0,698.0,4.37,4.35,2.66
0.31,Premium,,,60.9,58.0,,4.38,4.35,2.66
0.31,Premium,E,,58.3,60.0,698.0,4.51,4.48,2.62
0.31,,E,SI1,62.8,57.0,698.0,4.34,4.32,2.72
,Premium,,,60.1,61.0,,4.4,4.35,2.63
0.31,,,SI1,63.1,54.0,698.0,4.34,4.31,
,,E,SI1,63.4,,,4.33,4.32,
0.31,Very Good,E,SI1,,55.0,698.0,4.32,,
,,,SI1,,58.0,698.0,,,
0.31,,E,SI1,62.4,,698.0,4.34,4.31,2.7
,,E,SI1,,59.0,698.0,4.31,4.26,2.7
0.31,,E,SI1,,57.0,698.0,4.31,4.29,2.74
0.31,Ideal,G,VS2,62.2,56.0,698.0,,4.31,2.69
0.31,Premium,I,VVS2,59.4,59.0,,4.44,4.41,2.63
,Premium,I,VVS2,62.1,58.0,698.0,4.33,4.3,2.68
0.31,Premium,,VVS2,61.6,,,,4.31,2.66
0.31,Premium,,VVS2,61.7,,698.0,4.4,4.38,2.71
0.31,,,VVS2,61.6,57.0,698.0,4.39,4.35,2.69
0.31,Premium,I,VVS2,62.2,57.0,698.0,4.37,4.34,
0.25,Very Good,,VS1,59.7,,436.0,,,2.49
0.25,,F,VS1,59.6,,436.0,4.13,,2.47
0.25,Very Good,E,VS1,59.9,56.0,,4.1,4.15,2.47
0.25,Very Good,D,VS1,63.0,59.0,436.0,3.97,4.0,2.51
0.25,Ideal,F,,62.8,57.0,436.0,3.98,,2.51
,Ideal,G,VS1,62.3,,,3.99,,
0.25,Ideal,F,VS1,,,436.0,4.07,,
0.31,Ideal,G,SI2,62.0,54.0,436.0,,4.42,
0.31,,G,,,54.0,,,4.39,2.72
0.31,Ideal,G,SI2,61.9,55.0,,4.37,4.39,2.71
,Ideal,I,SI1,62.1,,436.0,4.37,4.39,2.72
0.31,Ideal,I,SI1,61.9,56.0,436.0,,4.36,2.69
0.31,Ideal,,,61.3,,436.0,4.37,4.4,2.69
,Ideal,I,SI1,60.8,,,4.38,4.41,2.67
0.31,Ideal,I,,,,436.0,4.36,,
0.31,Ideal,I,SI1,,53.0,436.0,4.37,4.4,2.72
0.31,Ideal,I,SI1,62.2,,436.0,4.36,,
0.3,Ideal,I,VS2,61.3,58.0,,,,2.64
,Ideal,I,VS2,61.6,,,4.28,4.33,
0.3,Ideal,I,VS2,61.5,58.0,438.0,4.28,4.31,2.64
0.3,Ideal,I,VS2,60.3,57.0,,,4.39,2.64
,Ideal,,VS2,61.4,58.0,438.0,4.29,4.31,
0.3,,,VS2,62.1,,,4.32,4.35,
0.3,,I,,62.0,55.0,,4.3,,2.68
0.3,,,,62.7,,438.0,4.28,4.3,
0.25,Ideal,G,VS1,62.0,,438.0,4.06,4.07,2.52
0.25,,,VS1,62.3,54.0,438.0,4.05,4.11,
0.25,Ideal,G,VS1,62.6,53.0,,,,
0.25,Ideal,G,,62.7,54.0,438.0,,4.08,2.55
0.34,Ideal,F,,61.9,57.0,438.0,,4.52,2.79
0.31,,H,,59.7,,698.0,4.43,4.41,2.64
,Premium,H,VS1,,,698.0,,4.4,2.65
,Premium,H,,59.9,,698.0,4.4,4.38,2.63
0.31,,H,,61.4,56.0,698.0,4.39,4.37,
0.31,Ideal,,VS1,62.0,54.0,698.0,4.39,4.35,
,Ideal,H,VS1,61.1,57.0,698.0,4.39,4.35,2.67
0.31,,,VS1,62.6,,698.0,4.38,4.34,2.73
0.31,Premium,,VS1,61.1,59.0,698.0,,4.35,
0.31,,H,VS1,61.7,,698.0,4.38,,
0.31,Ideal,H,VS1,62.4,55.0,698.0,,4.33,2.71
,Ideal,,,61.6,56.0,698.0,,4.34,
0.31,Ideal,H,,62.2,57.0,,,4.34,2.71
0.31,Premium,H,VS1,,61.0,,4.36,4.33,2.67
0.31,Premium,,,,58.0,,4.36,4.32,2.71
0.31,Premium,H,VS1,62.9,,698.0,4.34,4.31,
0.31,Very Good,H,VS1,,,698.0,4.34,4.31,
0.31,Ideal,H,VS1,62.6,55.0,698.0,4.35,4.31,2.71
0.31,Ideal,H,VS1,61.7,,,4.34,,2.67
,Premium,H,VS1,,61.0,698.0,,4.32,
0.31,,H,VS1,,,698.0,4.31,,2.7
0.31,Very Good,,VS1,63.2,57.0,698.0,,,2.72
0.31,,H,VS1,,55.0,698.0,4.32,4.29,2.74
0.31,Premium,,,62.6,60.0,698.0,,4.3,2.7
0.31,,H,,62.1,,698.0,,4.3,2.69
0.31,,,VS1,,,698.0,4.34,4.31,2.66
0.31,Premium,H,,,61.0,,4.34,4.31,2.67
0.31,Good,,VS1,64.0,59.0,698.0,,4.25,
,Premium,H,VS1,62.4,,698.0,4.34,4.28,2.69
,,H,VS1,63.1,58.0,698.0,4.3,4.26,2.7
0.31,Ideal,,VS2,59.1,57.0,698.0,4.48,4.45,2.64
,Premium,,VS2,59.2,60.0,698.0,4.47,,2.63
0.31,,G,VS2,59.8,,698.0,4.43,4.4,2.64
0.31,Ideal,,VS2,59.6,,698.0,4.43,4.4,2.63
0.31,,G,VS2,,55.0,,4.39,,2.7
0.31,Premium,G,,59.9,59.0,,4.4,4.38,
0.31,Ideal,G,VS2,,,698.0,4.41,4.39,2.71
0.31,Ideal,G,VS2,61.7,,698.0,4.37,4.35,2.69
0.31,Ideal,G,VS2,62.4,54.0,698.0,4.39,,2.73
,Ideal,G,VS2,,,698.0,,,2.67
0.31,Ideal,G,,61.8,57.0,698.0,4.36,,2.69
0.31,Ideal,G,VS2,62.0,57.0,698.0,4.37,4.34,2.7
0.31,,G,VS2,,59.0,698.0,4.38,4.34,2.72
,,G,VS2,61.7,57.0,698.0,4.36,4.33,2.68
0.31,,G,VS2,60.7,61.0,698.0,4.37,4.33,2.64
0.31,,G,,61.4,57.0,698.0,,4.33,2.67
,Ideal,G,,63.0,54.0,698.0,4.37,4.33,2.74
0.31,,G,VS2,63.1,58.0,698.0,4.35,4.3,
0.31,Premium,G,,61.5,,698.0,4.34,4.31,2.66
0.31,Premium,G,VS2,,59.0,,4.34,4.31,2.67
,Ideal,G,,,57.0,,,,2.71
,Ideal,G,VS2,62.9,57.0,698.0,4.34,4.31,2.72
0.31,Very Good,,VS2,63.1,56.0,698.0,4.37,4.31,2.74
,Premium,G,,,,698.0,4.37,,
0.31,,G,VS2,61.5,,698.0,4.35,4.33,2.67
,Premium,G,VS2,62.2,,,4.35,,2.69
0.31,,G,VS2,62.6,,698.0,4.32,,
0.31,Ideal,G,VS2,62.4,55.0,698.0,4.32,4.3,2.69
0.31,Good,G,VS2,,56.0,698.0,,,
,Ideal,G,VS2,62.9,,698.0,,4.28,2.71
0.31,Ideal,G,VS2,62.3,56.0,698.0,4.34,,2.69
0.31,Very Good,,VS2,,59.0,698.0,4.32,4.29,
0.31,,,VS2,63.5,58.0,,4.29,,2.7
0.31,,E,SI1,59.3,,,,4.42,2.64
,,E,SI1,59.1,59.0,,4.44,4.42,
0.31,Very Good,E,,,55.0,698.0,4.36,,2.74
0.31,Very Good,E,SI1,,55.0,698.0,4.36,4.33,
0.31,Ideal,E,SI1,62.7,54.0,698.0,4.36,4.35,2.73
0.31,Premium,E,SI1,,60.0,698.0,4.42,4.36,
0.31,Very Good,E,SI1,63.4,55.0,698.0,4.35,,2.75
0.31,Very Good,E,,,55.0,698.0,,4.31,2.74
,Very Good,E,SI1,63.5,55.0,,4.35,4.31,
0.31,,E,,62.6,,698.0,4.35,4.31,2.71
0.31,Ideal,E,SI1,,,698.0,4.32,4.29,2.7
0.31,,E,,63.0,,698.0,4.32,4.29,
0.31,,E,SI1,62.9,58.0,698.0,4.33,4.29,2.71
,Premium,E,SI1,62.0,58.0,698.0,4.35,4.3,2.68
0.31,Very Good,E,SI1,,,698.0,4.33,,2.74
0.31,Very Good,E,SI1,63.4,57.0,698.0,4.33,,
,Very Good,E,,63.1,57.0,,4.35,,2.73
0.31,Very Good,E,,,,698.0,4.31,,2.71
0.31,,E,SI1,63.5,,,4.32,,
0.31,,E,,63.2,59.0,698.0,4.33,,2.72
0.31,,E,SI1,63.2,59.0,,4.31,4.24,
0.31,Good,E,SI1,63.9,,698.0,4.31,4.27,2.74
0.31,,,SI1,63.6,,,4.3,,2.73
0.31,Premium,I,VVS2,62.1,58.0,698.0,4.37,4.33,
0.31,Premium,G,,61.7,58.0,698.0,4.34,,2.67
0.31,Premium,,VS2,,59.0,698.0,4.36,4.32,2.67
,Premium,,SI1,62.3,56.0,698.0,4.4,,2.73
0.34,,E,,59.1,,698.0,,4.58,
0.34,Ideal,,,,57.0,698.0,4.46,4.51,2.79
0.4,Very Good,G,,62.9,57.0,699.0,4.69,4.72,2.96
,Ideal,F,VS2,60.8,57.0,699.0,4.51,4.54,
0.33,Ideal,,,61.1,55.0,699.0,4.5,4.52,2.75
0.33,Ideal,G,VS1,61.5,56.0,699.0,4.45,,2.74
0.33,Ideal,G,VS1,,57.0,699.0,4.46,4.49,2.75
,,G,VS1,61.9,,699.0,4.44,4.49,2.77
0.31,Ideal,F,VVS2,,,700.0,,4.36,2.68
0.38,,,VS1,62.0,,700.0,4.67,,2.91
,Ideal,I,VS1,61.6,55.0,,4.68,4.73,2.9
0.38,Premium,,,60.5,,700.0,,4.69,2.83
0.38,Premium,F,SI1,62.7,58.0,700.0,,,
0.38,,H,VS2,,,700.0,4.63,,
,Very Good,H,VS2,,58.0,700.0,4.68,4.7,2.84
0.42,,E,SI2,62.9,56.0,,4.77,4.8,3.01
,,H,SI1,62.1,59.0,700.0,4.78,4.81,
,Very Good,H,,,,700.0,4.59,,
0.42,,H,SI1,62.7,56.0,700.0,4.76,4.78,2.99
0.38,Premium,I,VS1,61.3,,700.0,4.62,4.65,2.84
,,H,SI1,62.9,57.0,700.0,4.76,4.84,3.02
0.42,,H,SI1,62.2,57.0,700.0,4.78,4.8,2.98
0.38,Ideal,,SI1,61.9,55.0,700.0,4.64,4.7,2.89
0.38,,H,VS2,63.0,56.0,,4.57,4.61,2.89
0.42,Very Good,H,SI1,59.5,57.0,700.0,4.78,5.11,2.94
0.42,Ideal,E,,62.4,55.0,700.0,4.77,,2.99
,,D,SI2,,,,,4.81,
0.38,Very Good,E,,61.2,59.0,700.0,4.64,4.67,2.85
0.42,Very Good,D,SI2,,61.0,700.0,4.85,,
,Good,H,SI1,63.1,,700.0,4.76,4.78,
0.42,Very Good,,,,59.0,700.0,4.76,4.79,2.96
0.42,Premium,D,,62.1,59.0,700.0,,4.82,
0.38,Premium,H,,60.9,60.0,700.0,,4.67,2.83
0.42,Ideal,H,SI1,,,700.0,4.76,4.79,2.98
0.42,,,,,,700.0,4.77,4.83,2.92
0.42,,H,SI1,63.2,58.0,700.0,4.77,4.79,3.02
,Very Good,H,VS2,62.8,,700.0,,4.66,2.92
0.42,Premium,H,SI1,60.9,,,4.84,4.85,2.95
0.38,Premium,I,VS1,59.9,60.0,700.0,4.66,4.72,2.81
0.42,Premium,D,SI2,60.1,58.0,,4.83,4.88,2.92
0.32,Very Good,F,VVS2,63.8,,701.0,4.33,4.39,2.78
0.34,Very Good,,,61.2,,701.0,4.5,,2.76
0.38,,,SI1,62.8,58.0,,4.6,4.63,2.9
,Very Good,,SI1,61.3,57.0,701.0,4.67,4.7,2.87
0.4,,G,SI1,61.3,56.0,701.0,4.73,4.76,2.91
0.5,,G,,64.6,60.0,,5.04,4.96,3.23
,Very Good,F,SI1,,58.0,,,4.77,2.97
0.34,,,VS2,,56.0,702.0,4.48,4.5,
0.34,Ideal,E,VS2,61.2,56.0,702.0,4.51,4.54,
,Ideal,E,VS1,62.8,56.0,702.0,,4.49,
0.33,,E,SI1,,56.0,702.0,,4.49,
0.33,,E,SI1,61.6,55.0,702.0,4.47,4.49,
0.33,,E,SI1,61.9,,702.0,4.46,,2.77
0.3,Good,,VVS1,,62.0,,4.28,,2.65
0.38,Very Good,H,SI2,63.4,57.0,702.0,4.63,4.58,2.92
0.4,Premium,I,,60.5,,702.0,4.82,4.76,2.9
,Ideal,E,,60.8,55.0,702.0,4.42,4.49,2.71
0.33,Ideal,G,VVS2,62.6,53.0,702.0,4.43,4.45,2.78
